City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Chernyshkovskiy,RU,48.4219,42.2308,52.03,89,98,8.03,overcast clouds
325,Urucurituba,BR,-2.6833,-57.6667,73.36,96,98,1.03,overcast clouds
326,Vardo,NO,70.3705,31.1107,32.41,88,100,17.47,snow
327,Saldanha,ZA,-33.0117,17.9442,48.2,81,0,2.3,clear sky
328,Miranda,CO,3.2499,-76.2281,68.0,94,40,3.44,scattered clouds
329,Namibe,AO,-15.1961,12.1522,75.13,70,0,5.5,clear sky
330,Cap Malheureux,MU,-19.9842,57.6142,79.0,80,100,7.0,overcast clouds
331,Wanaka,NZ,-44.7,169.15,56.62,55,58,1.74,broken clouds
332,Tuatapere,NZ,-46.1333,167.6833,55.99,74,42,3.0,scattered clouds
333,Algeciras,ES,36.1333,-5.4505,59.0,67,2,13.8,clear sky
334,Pevek,RU,69.7008,170.3133,18.3,84,100,15.21,overcast clouds
335,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.4,93,75,8.95,broken clouds
336,Te Anau,NZ,-45.4167,167.7167,51.35,70,66,1.41,broken clouds
337,Mlonggo,ID,-6.5333,110.7,89.6,62,20,11.5,few clouds
338,Port Hedland,AU,-20.3167,118.5667,96.8,16,0,8.05,clear sky
339,Lasa,IT,46.6166,10.7002,54.0,93,75,3.44,broken clouds
340,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75.33,79,2,7.72,clear sky
341,Svarstad,NO,59.399,9.9698,34.0,71,20,3.6,few clouds
342,Bucerias,MX,20.75,-105.3333,77.0,78,75,1.45,broken clouds
343,Mingaora,PK,34.7758,72.3625,80.24,32,6,2.75,clear sky
344,Medford,US,42.3265,-122.8756,71.6,26,1,5.75,clear sky
