City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Townsville,AU,80.6,broken clouds,-19.25,146.8,Rydges Southbank Townsville
634,Koungou,YT,80.6,broken clouds,-12.7336,45.2042,Villa Netibor
636,Rondonopolis,BR,73.35,broken clouds,-16.4708,-54.6356,Serras Hotel
641,Huarmey,PE,66.99,clear sky,-10.0681,-78.1522,Hotel Miramar
645,Laguna De Perlas,NI,79.05,clear sky,12.3429,-83.6712,Hotel Best View
646,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
648,Alyangula,AU,87.8,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
649,Ballina,AU,71.6,moderate rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
651,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
652,Boulder City,US,91.4,clear sky,35.9786,-114.8325,Boulder Dam Hotel
654,Moussoro,TD,80.8,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
656,Yulara,AU,82.4,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
658,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
659,Banjar,ID,86.0,few clouds,-8.19,114.9675,The Hamsa Resort
661,Majene,ID,84.02,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
662,Bintulu,MY,87.8,few clouds,3.1667,113.0333,900 Boutique INN
665,Bacalar,MX,82.0,clear sky,18.6667,-88.3833,Hotel Laguna Bacalar
670,Kaeo,NZ,68.0,few clouds,-35.1,173.7833,Bushido Lodge
672,Soe,ID,80.01,clear sky,-9.8607,124.28399999999999,Dena Hotel
676,Beja,TN,71.6,scattered clouds,36.7256,9.1817,باجة العتيقة Beja El Medina
677,Nouadhibou,MR,66.2,clear sky,20.930999999999997,-17.0347,El Medina
681,Cam Ranh,VN,87.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
682,Chitral,PK,67.66,clear sky,35.8462,71.7858,PTDC Motel Chitral
683,Cotonou,BJ,82.4,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
